text,username,location,len
"China stole a patent from a US company conducting trials in Wuhan the early days of the outbreak. China/CCP spread the virus, they should be liable for damages. Not only free vaccines, but more.

(I doubt China's vaccines will work tho lol)

https://t.co/Gcxyw3kC1O",auzah,Iloilo City,265
"BMJ damns UK government for mishandling coronavirus outbreak and ignoring science.
Too damn late now, the damage has been done and the human cost is high.

https://t.co/HKnPHrN6uW",karl_trotsky,Somewhere to the left.,179
RT @Pun_Starr: I think BJP leaders should most beware of Zee News journalists. Coronavirus can be transferred through boot licking.,alamdar1961,"Injambakkam, Sholinganallur",131
@suchetadalal @DeepikaBhardwaj This confirms that Mahindra has made Ambu Bags. https://t.co/DrJx4LphVE,ambar_hitman,Parts Unknown,102
Trump threatens to keep WHO funding freeze in place after White House probe on early coronavirus failures https://t.co/tv37xsLtE4 #FoxNews #CNN #MSNBC,cybergenica,"Brooksville, FL",150
"#Democrats have a plan for the #coronavirus that was started in the #UnitedStates in 2019 with #Republicans in control. #JoeBiden is the answer. 
#TrumpTrialForCoronavirusDeaths

#NancyPelosiAmericanHero https://t.co/fCvREjKzVj",trumpdumpcare,United States,227
"#Oregon coronavirus restrictions kept in place, for now - May 19 @ 4:15 AM ET https://t.co/Pv8sry0tR1",PulpNews,USA,101
"Saturday Sunshine Drenched Beltzville Park
Friday was the first day coronavirus lockdown orders were lifted at Beltzville State Park in Carbon County, 54 miles north of Sanatoga. By Saturday, plenty of people were enjoying sunny time there.
https://t.co/fUDunSAyCl https://t.co/DjQoTFguiJ",jzlomek,Sanatoga PA,288
"RT @wellbeingvenues: How has lockdown changed Yoga?

https://t.co/R0rgINZmYF

#yoga #coronavirus #onlineyoga",LohasTopStories,"San Francisco, CA",108
RT @Isabel21294528: @CGTNOfficial #Hubei measures the culture and traavel industry #coronavirus 🇨🇳,CoronaVirusCall,North America,98
"@Ericyip77316500 Past vaccines took many more years to develop. 
According to scientists, SARS-CoV-2, like other coronavirus, doesn't mutate as much. But, doctors found it dangerous and intractable. It can attack anywhere in the body w. devastating consequences.",BauJosephine,Active fr Oct'19 #STOPCovid19,262
"""The pandemic has taught us the importance of preparation""

""Perhaps the upheaval of #COVID19 can inspire us to take much-needed preventive action for the #climate, biosphere &amp; humanity""

—@KaiChanUBC, @IPBES #GlobalAssessment lead author
via @globalnews

https://t.co/CbtlUF8GJd",IPBES,"Bonn, Germany",283
"RT @alanmaddison20: After opening from the11th May, a reported 69 french schools have now closed after detecting Coronavirus infections.",Labcold,"Basingstoke, RG24 8WF, UK",136
"Moderna's #coronavirus vaccine candidate is starting to show the first signs of an immune response of the same level as natural infection.

https://t.co/66z3ZXdvWm",stpancrasclinic,"London, England",163
How Kickstarter Creators Are Coping with the Coronavirus — Kickstarter CRYPTO CRYPTO NEWS - https://t.co/dyibqUd8lp,CryptoCryptoNe3,Planet Crypto ,115
